Id,Score,ViewCount,ImageUrl,AltText,NewBody
78563781,0,30,"['https://i.sstatic.net/pBOjgu9f.png', ' https://i.sstatic.net/UDBWPXhE.png']",,
78562982,2,26,"['https://i.sstatic.net/vT5H7zVo.png', ' https://i.sstatic.net/z9EDif5n.png']",,
78562351,0,41,['https://i.sstatic.net/82GGYDLT.jpg'],,
78561941,0,39,['https://i.sstatic.net/nSuRpMRP.png'],,
78561762,-1,61,"['https://i.sstatic.net/fzLTfnl6.jpg', ' https://i.sstatic.net/nuLGR3OP.jpg', ' https://i.sstatic.net/9cb85rKN.jpg', ' https://i.sstatic.net/o4q0ihA4.jpg', ' https://i.sstatic.net/mLqmc1MD.jpg', ' https://i.sstatic.net/GswajizQ.jpg', ' https://i.sstatic.net/pBDR8gxf.jpg']",,
78561571,0,39,"['https://i.sstatic.net/BHEIWY2z.jpg', ' https://i.sstatic.net/MHEJvKpB.jpg']",,
78561018,0,20,['https://i.sstatic.net/Dd2nDzr4.png'],,
78560814,1,21,"['https://i.sstatic.net/pzcOORqf.png', ' https://i.sstatic.net/cPDPmZgY.png']",,
78559859,0,20,"['https://i.sstatic.net/pBzAR8hf.png', ' https://i.sstatic.net/oTw2xT0A.png']",,
78558598,-3,76,"['https://i.sstatic.net/mX1C7eDs.jpg', ' https://i.sstatic.net/rEfEEpVk.jpg']",,
78557063,0,60,['https://i.sstatic.net/x4726KiI.png'],,
78556898,0,46,['https://i.sstatic.net/ySzHiC0w.png'],,
78556827,0,20,['https://i.sstatic.net/oF7kppA4.png'],,
78556096,0,23,"['https://i.sstatic.net/kYN8Reb8.png', ' https://i.sstatic.net/nS2xMDyP.png', ' https://i.sstatic.net/XIenhgjc.png']",,
78555378,-2,68,['https://i.sstatic.net/BHGIqWiz.png'],,
